Phase Durations,Average Waiting Time
"(30, 20, 20, 30)",21.315867791171204
"(30, 20, 20, 40)",25.175076051199813
"(30, 20, 30, 10)",19.322514467027467
"(30, 20, 30, 20)",21.245299711096152
"(30, 20, 30, 30)",24.983569056434984
"(30, 20, 30, 40)",28.48317296075073
"(30, 20, 40, 10)",21.495261616292105
"(30, 20, 40, 20)",25.232249247129158
"(30, 20, 40, 30)",28.94315428591632
"(30, 20, 40, 40)",30.62092055866293
"(30, 30, 10, 10)",11.287316833106694
"(30, 30, 10, 20)",15.570785579303813
"(30, 30, 10, 30)",18.099353142218305
"(30, 30, 10, 40)",22.322791529790436
"(30, 30, 20, 10)",14.623269628926286
"(30, 30, 20, 20)",17.716157166698682
"(30, 30, 20, 30)",21.85272344723682
"(30, 30, 20, 40)",24.803407705721018
"(30, 30, 30, 10)",17.972618067990474
"(30, 30, 30, 20)",21.934232015742015
"(30, 30, 30, 30)",25.447197957558235
"(30, 30, 30, 40)",27.22807402008486
"(30, 30, 40, 10)",22.135779694506375
"(30, 30, 40, 20)",25.84505457508263
"(30, 30, 40, 30)",27.28330474483577
"(30, 30, 40, 40)",30.929676401806574
"(30, 40, 10, 10)",12.924298175723484
"(30, 40, 10, 20)",14.68031176184422
"(30, 40, 10, 30)",18.168724386449462
"(30, 40, 10, 40)",21.68509159231141
"(30, 40, 20, 10)",15.09063908572433
"(30, 40, 20, 20)",18.429964468793198
"(30, 40, 20, 30)",22.669166711200717
"(30, 40, 20, 40)",25.17819059277151
"(30, 40, 30, 10)",18.58460072842793
"(30, 40, 30, 20)",23.19303937026468
"(30, 40, 30, 30)",25.076489720028153
"(30, 40, 30, 40)",28.94298760802609
"(30, 40, 40, 10)",22.763675110616376
"(30, 40, 40, 20)",25.10215322152858
"(30, 40, 40, 30)",28.785278311936885
"(30, 40, 40, 40)",32.45705332515898
"(40, 10, 10, 10)",17.98918269278358
"(40, 10, 10, 20)",20.95652844380534
"(40, 10, 10, 30)",25.047757183974547
"(40, 10, 10, 40)",26.87990809627974
"(40, 10, 20, 10)",21.407483969699854
"(40, 10, 20, 20)",25.534813378774796
"(40, 10, 20, 30)",27.16937173219274
"(40, 10, 20, 40)",31.653835222659215
"(40, 10, 30, 10)",25.97912218717613
"(40, 10, 30, 20)",27.400974549901573
"(40, 10, 30, 30)",31.87030432868585
"(40, 10, 30, 40)",33.955178342321666
"(40, 10, 40, 10)",27.762854895094733
"(40, 10, 40, 20)",32.25423827723136
"(40, 10, 40, 30)",34.38795275989733
"(40, 10, 40, 40)",37.07636098571759
"(40, 20, 10, 10)",14.969549390097795
"(40, 20, 10, 20)",19.5992802422279
"(40, 20, 10, 30)",20.843595570788075
"(40, 20, 10, 40)",25.25469247747499
"(40, 20, 20, 10)",19.148495187202407
"(40, 20, 20, 20)",20.77155559415403
"(40, 20, 20, 30)",24.95160233146285
"(40, 20, 20, 40)",26.979152536770748
"(40, 20, 30, 10)",21.177216251597123
"(40, 20, 30, 20)",25.28312751910195
"(40, 20, 30, 30)",27.66535729147355
"(40, 20, 30, 40)",29.496222182686544
"(40, 20, 40, 10)",25.62800815001096
"(40, 20, 40, 20)",28.14922041210675
"(40, 20, 40, 30)",29.768677020299677
"(40, 20, 40, 40)",33.784818429155735
"(40, 30, 10, 10)",14.452587908299131
"(40, 30, 10, 20)",18.08048483409129
"(40, 30, 10, 30)",22.19741400655635
"(40, 30, 10, 40)",23.935235836548998
"(40, 30, 20, 10)",18.43941625971573
"(40, 30, 20, 20)",22.59305300357862
"(40, 30, 20, 30)",24.927819404349563
"(40, 30, 20, 40)",27.324687753876155
"(40, 30, 30, 10)",22.83880201378636
"(40, 30, 30, 20)",25.468054438046025
"(40, 30, 30, 30)",27.434797416180274
"(40, 30, 30, 40)",31.23086576115984
"(40, 30, 40, 10)",25.429381777575113
"(40, 30, 40, 20)",27.613638459680455
"(40, 30, 40, 30)",31.208395584322357
"(40, 30, 40, 40)",35.45327600430814
"(40, 40, 10, 10)",15.566536797641344
"(40, 40, 10, 20)",18.148593840136474
"(40, 40, 10, 30)",21.999383015448828
"(40, 40, 10, 40)",25.4099750357344
"(40, 40, 20, 10)",18.478516988249783
"(40, 40, 20, 20)",22.79322113660809
"(40, 40, 20, 30)",24.755554659625574
"(40, 40, 20, 40)",28.698479859482
"(40, 40, 30, 10)",22.233114481892354
"(40, 40, 30, 20)",24.800333702720053
"(40, 40, 30, 30)",28.58831665469095
"(40, 40, 30, 40)",32.341515550874426
"(40, 40, 40, 10)",25.80387113471269
"(40, 40, 40, 20)",28.564467451615975
"(40, 40, 40, 30)",32.8949859736494
"(40, 40, 40, 40)",34.62981298422671
