Average Queue length,Phase,Step,Action,Reward,Total Queue Length
0.2,1.0,0.149,3,-0.2,8
0.175,1.0,0.15,3,0.825,7
0.175,0.0,0.151,0,-0.175,7
0.25,0.33333334,0.152,1,-0.25,10
0.125,1.0,0.153,3,-0.125,5
0.175,0.0,0.154,0,-0.175,7
0.125,1.0,0.155,3,0.375,5
0.05,0.0,0.156,0,-0.05,2
0.025,1.0,0.157,3,0.475,1
0.025,0.33333334,0.158,1,-0.025,1
0.025,1.0,0.159,3,-0.025,1
0.025,0.0,0.16,0,-0.025,1
0.075,0.33333334,0.161,1,0.925,3
0.025,1.0,0.162,3,-0.025,1
0.025,1.0,0.163,3,0.475,1
0.075,1.0,0.164,3,-0.075,3
0.075,0.6666667,0.165,2,-0.075,3
0.1,1.0,0.166,3,-0.1,4
0.15,1.0,0.167,3,-0.15,6
0.2,0.33333334,0.168,1,0.3,8
0.125,1.0,0.169,3,0.375,5
0.15,1.0,0.17,3,0.35,6
0.15,0.33333334,0.171,1,-0.15,6
0.125,0.33333334,0.172,1,-0.125,5
0.125,1.0,0.173,3,0.375,5
0.125,1.0,0.174,3,-0.125,5
0.175,1.0,0.175,3,-0.175,7
0.125,1.0,0.176,3,0.375,5
0.125,0.6666667,0.177,2,-0.125,5
0.075,0.33333334,0.178,1,0.425,3
0.1,0.33333334,0.179,1,0.4,4
0.125,1.0,0.18,3,0.875,5
0.1,1.0,0.181,3,-0.1,4
0.2,1.0,0.182,3,-0.2,8
0.075,1.0,0.183,3,-0.075,3
0.075,1.0,0.184,3,-0.075,3
0.1,1.0,0.185,3,0.4,4
0.175,1.0,0.186,3,-0.175,7
0.1,1.0,0.187,3,0.4,4
0.1,1.0,0.188,3,-0.1,4
0.1,1.0,0.189,3,-0.1,4
0.15,1.0,0.19,3,0.35,6
0.1,1.0,0.191,3,0.4,4
0.1,1.0,0.192,3,0.4,4
0.1,1.0,0.193,3,-0.1,4
0.1,1.0,0.194,3,0.4,4
0.125,1.0,0.195,3,0.375,5
0.175,0.33333334,0.196,1,0.325,7
0.175,1.0,0.197,3,-0.175,7
0.2,1.0,0.198,3,0.8,8
0.2,1.0,0.199,3,0.3,8
0.2,0.33333334,0.2,1,0.3,8
0.2,0.33333334,0.201,1,0.3,8
0.2,0.0,0.202,0,-0.2,8
0.15,0.0,0.203,0,0.35,6
0.2,1.0,0.204,3,-0.2,8
0.175,1.0,0.205,3,-0.175,7
0.2,1.0,0.206,3,-0.2,8
0.2,1.0,0.207,3,-0.2,8
0.2,1.0,0.208,3,0.8,8
0.2,1.0,0.209,3,-0.2,8
0.2,1.0,0.21,3,-0.2,8
0.25,1.0,0.211,3,-0.25,10
0.25,1.0,0.212,3,-0.25,10
0.2,1.0,0.213,3,0.8,8
0.225,1.0,0.214,3,-0.225,9
0.225,1.0,0.215,3,0.275,9
0.25,1.0,0.216,3,0.25,10
0.2,1.0,0.217,3,-0.2,8
0.25,1.0,0.218,3,0.25,10
0.2,1.0,0.219,3,-0.2,8
0.2,1.0,0.22,3,0.3,8
0.2,1.0,0.221,3,0.3,8
0.2,1.0,0.222,3,-0.2,8
0.2,1.0,0.223,3,-0.2,8
0.2,1.0,0.224,3,-0.2,8
0.25,1.0,0.225,3,-0.25,10
0.35,1.0,0.226,3,-0.35,14
0.325,1.0,0.227,3,0.675,13
0.35,1.0,0.228,3,-0.35,14
0.35,1.0,0.229,3,-0.35,14
0.35,1.0,0.23,3,-0.35,14
0.35,1.0,0.231,3,-0.35,14
0.35,1.0,0.232,3,-0.35,14
0.4,1.0,0.233,3,-0.4,16
0.35,1.0,0.234,3,0.15000000000000002,14
0.35,1.0,0.235,3,0.15000000000000002,14
0.35,1.0,0.236,3,-0.35,14
0.35,1.0,0.237,3,-0.35,14
0.35,1.0,0.238,3,-0.35,14
0.35,1.0,0.239,3,-0.35,14
0.4,1.0,0.24,3,-0.4,16
0.35,1.0,0.241,3,-0.35,14
0.4,1.0,0.242,3,0.09999999999999998,16
0.35,1.0,0.243,3,0.15000000000000002,14
0.4,1.0,0.244,3,-0.4,16
0.35,1.0,0.245,3,-0.35,14
0.4,1.0,0.246,3,-0.4,16
0.4,1.0,0.247,3,-0.4,16
0.35,1.0,0.248,3,-0.35,14
0.35,1.0,0.249,3,0.65,14
0.35,1.0,0.25,3,-0.35,14
0.35,1.0,0.251,3,-0.35,14
0.35,1.0,0.252,3,-0.35,14
0.35,1.0,0.253,3,-0.35,14
0.475,1.0,0.254,3,-0.475,19
0.475,0.33333334,0.255,1,-0.475,19
0.45,1.0,0.256,3,-0.45,18
0.4,1.0,0.257,3,0.6,16
0.4,0.33333334,0.258,1,-0.4,16
0.4,0.33333334,0.259,1,-0.4,16
0.4,1.0,0.26,3,-0.4,16
0.425,1.0,0.261,3,-0.425,17
0.475,1.0,0.262,3,-0.475,19
0.425,1.0,0.263,3,-0.425,17
0.425,1.0,0.264,3,-0.425,17
0.425,1.0,0.265,3,-0.425,17
0.425,1.0,0.266,3,-0.425,17
0.425,1.0,0.267,3,0.575,17
0.425,1.0,0.268,3,-0.425,17
0.475,1.0,0.269,3,-0.475,19
0.425,1.0,0.27,3,-0.425,17
0.425,1.0,0.271,3,-0.425,17
0.475,1.0,0.272,3,0.025000000000000022,19
0.475,1.0,0.273,3,0.025000000000000022,19
0.425,1.0,0.274,3,-0.425,17
0.45,1.0,0.275,3,-0.45,18
0.5,1.0,0.276,3,-0.5,20
0.425,1.0,0.277,3,-0.425,17
0.425,1.0,0.278,3,0.07500000000000001,17
0.425,1.0,0.279,3,-0.425,17
0.425,1.0,0.28,3,-0.425,17
0.425,1.0,0.281,3,-0.425,17
0.45,1.0,0.282,3,0.04999999999999999,18
0.55,1.0,0.283,3,-0.55,22
0.55,1.0,0.284,3,0.44999999999999996,22
0.55,1.0,0.285,3,-0.050000000000000044,22
0.575,1.0,0.286,3,-0.07499999999999996,23
