Queue length,Phase,Step,Action,Reward,Total Queue Length
0.025,0.0,0.137,0,-0.2,0.125
0.05,0.33333334,0.138,1,-0.2,0.25
0.025,0.33333334,0.139,1,-0.2,0.125
0.0,0.6666667,0.14,2,0.0,0.0
0.0,1.0,0.141,3,0.0,0.0
0.0,1.0,0.142,3,0.0,0.0
0.0,1.0,0.143,3,0.0,0.0
0.0,0.6666667,0.144,2,0.0,0.0
0.0,0.6666667,0.145,2,0.0,0.0
0.0,0.6666667,0.146,2,0.0,0.0
0.0,1.0,0.147,3,0.0,0.0
0.0,1.0,0.148,3,0.0,0.0
0.0,1.0,0.149,3,0.0,0.0
0.0,0.6666667,0.15,2,0.0,0.0
0.0,1.0,0.151,3,0.0,0.0
0.1,1.0,0.152,3,-0.2,0.5
0.0,0.6666667,0.153,2,0.0,0.0
0.0,1.0,0.154,3,0.0,0.0
0.0,0.6666667,0.155,2,0.0,0.0
0.075,1.0,0.156,3,-0.2,0.375
0.0,1.0,0.157,3,0.0,0.0
0.0,0.6666667,0.158,2,0.0,0.0
0.0,0.6666667,0.159,2,0.0,0.0
0.0,1.0,0.16,3,0.0,0.0
0.0,1.0,0.161,3,0.0,0.0
0.0,0.6666667,0.162,2,0.0,0.0
0.0,0.6666667,0.163,2,0.0,0.0
0.0,0.6666667,0.164,2,0.0,0.0
0.025,0.33333334,0.165,1,-0.2,0.125
0.025,0.0,0.166,0,-0.2,0.125
0.075,0.33333334,0.167,1,-0.2,0.375
0.025,0.6666667,0.168,2,-0.2,0.125
0.0,1.0,0.169,3,0.0,0.0
0.025,0.6666667,0.17,2,-0.2,0.125
0.0,1.0,0.171,3,0.0,0.0
0.025,0.6666667,0.172,2,-0.2,0.125
0.025,0.6666667,0.173,2,-0.2,0.125
0.0,0.6666667,0.174,2,0.0,0.0
0.0,0.6666667,0.175,2,0.0,0.0
0.0,1.0,0.176,3,0.0,0.0
0.0,1.0,0.177,3,0.0,0.0
0.0,1.0,0.178,3,0.0,0.0
