Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.1,3.6005473,1.0,0.10710711,3,-0.1,5
0.05,3.374235,0.6666667,0.10810811,2,-0.05,4
0.1,3.1065505,1.0,0.10910911,3,-0.1,2
0.05,2.2100916,0.33333334,0.11011011,1,-0.05,4
0.05,2.4269397,0.33333334,0.11111111,1,-0.05,2
0.05,2.8698835,0.0,0.11211211,0,-0.05,2
0.05,3.3887331,0.33333334,0.11311311,1,-0.05,2
0.05,4.156138,0.33333334,0.11411411,1,-0.05,2
0.0,3.5113966,0.0,0.11511511,0,-0.0,2
0.025,3.563893,0.6666667,0.116116114,2,-0.025,0
0.125,3.3810098,0.0,0.117117114,0,-0.125,1
0.1,3.6506844,0.6666667,0.118118115,2,-0.1,5
0.075,2.9297934,0.33333334,0.11911912,1,-0.075,4
0.075,3.5014248,1.0,0.12012012,3,-0.075,3
0.125,2.839381,0.0,0.12112112,0,-0.125,3
0.0,3.8223164,1.0,0.122122124,3,-0.0,5
0.0,3.6562908,0.0,0.123123124,0,-0.0,0
0.1,3.254849,1.0,0.124124125,3,-0.1,0
0.075,3.1473243,1.0,0.12512513,3,-0.075,4
0.075,3.084667,0.6666667,0.12612613,2,-0.075,3
0.125,3.4521544,1.0,0.12712713,3,-0.125,3
0.15,3.9233088,0.0,0.12812813,0,-0.15,5
0.15,4.294157,0.33333334,0.12912913,1,-0.15,6
0.125,3.090115,0.0,0.13013013,0,-0.125,6
0.15,2.2540348,0.0,0.13113113,0,-0.15,5
0.075,2.3462281,1.0,0.13213213,3,-0.075,6
0.1,2.461712,0.0,0.13313313,0,-0.1,3
0.1,2.3295426,0.0,0.13413413,0,-0.1,4
0.15,2.1453595,0.0,0.13513513,0,-0.15,4
0.15,2.1373334,0.33333334,0.13613613,1,-0.15,6
0.175,2.0922425,0.0,0.13713713,0,-0.175,6
0.225,1.4767826,0.6666667,0.13813815,2,-0.225,7
0.225,1.6594579,1.0,0.13913915,3,-0.225,9
0.25,1.4080827,0.33333334,0.14014015,1,-0.25,9
0.225,1.7892661,1.0,0.14114115,3,-0.225,10
0.225,2.0101018,1.0,0.14214215,3,-0.225,9
0.175,1.3875706,0.6666667,0.14314315,2,-0.175,9
0.225,1.6251137,0.6666667,0.14414415,2,-0.225,7
0.25,1.6880442,0.6666667,0.14514515,2,-0.25,9
0.2,2.0960011,0.6666667,0.14614615,2,-0.2,10
0.2,1.7652252,0.0,0.14714715,0,-0.2,8
0.2,2.0112982,1.0,0.14814815,3,-0.2,8
0.225,1.655036,0.0,0.14914915,0,-0.225,8
0.275,1.7274132,1.0,0.15015015,3,-0.275,9
0.325,1.5534723,0.0,0.15115115,0,-0.325,11
0.325,1.1507787,1.0,0.15215215,3,-0.325,13
0.35,1.278785,0.6666667,0.15315315,2,-0.35,13
0.35,1.533766,0.0,0.15415415,0,-0.35,14
0.375,1.1698682,0.33333334,0.15515515,1,-0.375,14
0.325,0.9734457,1.0,0.15615615,3,-0.325,15
0.275,1.4088571,0.33333334,0.15715715,1,-0.275,13
0.225,1.9952518,0.33333334,0.15815815,1,-0.225,11
0.15,2.4199426,0.0,0.15915915,0,-0.15,9
0.125,2.6816626,0.0,0.16016015,0,-0.125,6
0.1,2.7465017,0.6666667,0.16116115,2,-0.1,5
0.05,2.8117318,0.0,0.16216215,0,-0.05,4
0.05,2.7008183,0.33333334,0.16316317,1,-0.05,2
0.05,2.609756,0.33333334,0.16416417,1,-0.05,2
0.125,2.00099,0.33333334,0.16516517,1,-0.125,2
0.15,1.946056,0.33333334,0.16616617,1,-0.15,5
0.075,2.2829561,0.33333334,0.16716717,1,-0.075,6
0.1,2.4064255,0.0,0.16816817,0,-0.1,3
0.1,2.8073566,1.0,0.16916917,3,-0.1,4
0.1,3.3151393,0.33333334,0.17017017,1,-0.1,4
0.1,3.804437,0.33333334,0.17117117,1,-0.1,4
0.1,3.9994652,0.33333334,0.17217217,1,-0.1,4
0.1,3.4873977,0.0,0.17317317,0,-0.1,4
0.05,3.0124288,0.6666667,0.17417417,2,-0.05,4
0.125,3.0143883,0.0,0.17517518,0,-0.125,2
0.1,2.4729471,0.0,0.17617618,0,-0.1,5
0.125,2.1043074,0.6666667,0.17717718,2,-0.125,4
0.125,2.0987823,1.0,0.17817818,3,-0.125,5
0.175,2.2495725,0.0,0.17917918,0,-0.175,5
0.175,1.8627982,0.0,0.18018018,0,-0.175,7
0.25,1.8565294,0.0,0.18118118,0,-0.25,7
0.275,1.4916185,0.0,0.18218218,0,-0.275,10
0.25,1.7281374,0.0,0.18318318,0,-0.25,11
0.225,2.0953434,0.33333334,0.18418418,1,-0.225,10
0.325,1.6248323,0.0,0.18518518,0,-0.325,9
0.225,1.3977545,1.0,0.18618618,3,-0.225,13
0.2,1.2938199,0.0,0.18718718,0,-0.2,9
0.2,1.617021,0.0,0.1881882,0,-0.2,8
0.15,1.965877,0.6666667,0.1891892,2,-0.15,8
0.175,2.2228444,0.6666667,0.1901902,2,-0.175,6
0.15,2.2180965,0.6666667,0.1911912,2,-0.15,7
0.175,2.2721274,0.0,0.1921922,0,-0.175,6
0.225,2.2338722,0.0,0.1931932,0,-0.225,7
0.275,2.2729046,0.0,0.1941942,0,-0.275,9
0.325,1.706082,0.0,0.1951952,0,-0.325,11
0.4,1.803919,0.6666667,0.1961962,2,-0.4,13
0.375,2.0149932,0.0,0.1971972,0,-0.375,16
0.35,1.7507218,0.33333334,0.1981982,1,-0.35,15
0.325,2.0933595,0.6666667,0.1991992,2,-0.325,14
0.275,2.0155742,0.33333334,0.2002002,1,-0.275,13
0.25,1.9351661,0.0,0.2012012,0,-0.25,11
0.2,2.2733,0.0,0.2022022,0,-0.2,10
0.175,2.4797125,0.0,0.2032032,0,-0.175,8
0.1,1.6270556,1.0,0.2042042,3,-0.1,7
0.075,1.8497646,1.0,0.2052052,3,-0.075,4
0.075,2.080501,1.0,0.2062062,3,-0.075,3
0.05,2.4225035,0.33333334,0.2072072,1,-0.05,3
0.05,2.5979567,0.33333334,0.2082082,1,-0.05,2
0.075,1.4099051,0.33333334,0.2092092,1,-0.075,2
0.075,1.5412502,0.33333334,0.2102102,1,-0.075,3
0.1,1.8169109,0.0,0.2112112,0,-0.1,3
0.0,2.5383594,0.33333334,0.2122122,1,-0.0,4
0.0,3.288475,0.33333334,0.21321322,1,-0.0,0
0.025,4.13938,0.33333334,0.21421422,1,-0.025,0
0.05,3.8604515,0.33333334,0.21521522,1,-0.05,1
0.0,4.862848,1.0,0.21621622,3,-0.0,2
0.0,5.7251062,1.0,0.21721722,3,-0.0,0
0.025,6.037258,0.33333334,0.21821822,1,-0.025,0
0.025,6.3334517,0.0,0.21921922,0,-0.025,1
0.0,6.2354236,0.33333334,0.22022022,1,-0.0,1
0.025,5.9881887,0.33333334,0.22122122,1,-0.025,0
0.05,5.728782,0.33333334,0.22222222,1,-0.05,1
0.075,4.625387,0.0,0.22322322,0,-0.075,2
0.075,4.22159,0.0,0.22422422,0,-0.075,3
0.125,4.1536665,0.6666667,0.22522523,2,-0.125,3
0.175,2.369786,0.0,0.22622623,0,-0.175,5
0.225,2.389962,0.0,0.22722723,0,-0.225,7
