Queue length,Speed,Phase,Step,Action,Reward
0.13333334,1.4566655,0.0,0.113,0,-0.13333334
0.13333334,1.5712295,0.0,0.114,0,-0.13333334
0.13333334,0.9792008,0.0,0.115,0,-0.13333334
0.13333334,0.9335781,0.0,0.116,0,-0.13333334
0.14166667,0.8951479,0.0,0.117,0,-0.14166667
0.14166667,1.0383205,0.0,0.118,0,-0.14166667
0.13333334,0.5233396,0.6666667,0.119,2,-0.13333334
0.13333334,0.6548358,0.0,0.12,0,-0.13333334
0.15,0.7199127,0.0,0.121,0,-0.15
0.13333334,0.95651954,0.33333334,0.122,1,-0.13333334
0.13333334,0.53730744,0.6666667,0.123,2,-0.13333334
0.14166667,0.6606043,0.6666667,0.124,2,-0.14166667
0.14166667,0.8739362,0.6666667,0.125,2,-0.14166667
0.13333334,1.161661,0.0,0.126,0,-0.13333334
0.13333334,1.4575361,0.33333334,0.127,1,-0.13333334
0.13333334,1.7015287,0.0,0.128,0,-0.13333334
0.13333334,2.035936,0.0,0.129,0,-0.13333334
0.13333334,1.464897,0.0,0.13,0,-0.13333334
0.13333334,1.6940465,0.33333334,0.131,1,-0.13333334
0.13333334,1.8601183,0.6666667,0.132,2,-0.13333334
0.13333334,1.9574709,0.0,0.133,0,-0.13333334
0.13333334,1.6790377,0.33333334,0.134,1,-0.13333334
0.14166667,1.7053345,0.6666667,0.135,2,-0.14166667
0.13333334,1.8155426,0.0,0.136,0,-0.13333334
0.13333334,2.0210342,0.0,0.137,0,-0.13333334
0.13333334,0.90662915,0.0,0.138,0,-0.13333334
0.13333334,0.99830204,0.0,0.139,0,-0.13333334
0.13333334,1.0397636,0.0,0.14,0,-0.13333334
0.11666667,0.5426377,1.0,0.141,3,-0.11666667
0.108333334,0.71884114,0.0,0.142,0,-0.108333334
0.09166667,0.9138943,0.33333334,0.143,1,-0.09166667
0.083333336,1.2277374,0.0,0.144,0,-0.083333336
0.075,1.3977238,0.6666667,0.145,2,-0.075
0.075,1.5140363,0.6666667,0.146,2,-0.075
0.058333334,0.89919746,0.0,0.147,0,-0.058333334
0.058333334,0.98272306,0.33333334,0.148,1,-0.058333334
0.058333334,1.038972,0.6666667,0.149,2,-0.058333334
0.06666667,1.0931809,0.0,0.15,0,-0.06666667
0.1,0.93507874,0.33333334,0.151,1,-0.1
0.1,0.33705094,0.33333334,0.152,1,-0.1
0.11666667,0.37843147,0.33333334,0.153,1,-0.11666667
0.11666667,0.43693003,0.0,0.154,0,-0.11666667
0.108333334,0.72141385,1.0,0.155,3,-0.108333334
0.083333336,1.2028772,0.0,0.156,0,-0.083333336
0.075,1.8192049,1.0,0.157,3,-0.075
0.06666667,2.4489894,0.33333334,0.158,1,-0.06666667
0.05,2.8021653,0.33333334,0.159,1,-0.05
0.033333335,2.8634906,0.0,0.16,0,-0.033333335
0.033333335,2.811875,0.0,0.161,0,-0.033333335
0.033333335,2.6011155,0.0,0.162,0,-0.033333335
0.041666668,2.4714658,0.0,0.163,0,-0.041666668
0.05,2.5080323,0.6666667,0.164,2,-0.05
0.075,2.4800856,0.6666667,0.165,2,-0.075
0.09166667,1.2648273,0.0,0.166,0,-0.09166667
0.1,1.3021094,0.33333334,0.167,1,-0.1
0.09166667,1.5072039,0.0,0.168,0,-0.09166667
0.09166667,1.6845165,0.33333334,0.169,1,-0.09166667
0.108333334,1.2608212,0.33333334,0.17,1,-0.108333334
0.1,0.8393277,1.0,0.171,3,-0.1
0.108333334,0.9859978,0.0,0.172,0,-0.108333334
0.09166667,1.1398162,0.0,0.173,0,-0.09166667
0.1,1.3122959,0.0,0.174,0,-0.1
0.09166667,1.441447,0.0,0.175,0,-0.09166667
0.083333336,1.5934566,0.6666667,0.176,2,-0.083333336
0.083333336,1.6862884,0.6666667,0.177,2,-0.083333336
0.1,1.1780564,0.0,0.178,0,-0.1
0.09166667,1.2194514,0.6666667,0.179,2,-0.09166667
0.1,0.609866,0.0,0.18,0,-0.1
0.13333334,0.5860687,0.6666667,0.181,2,-0.13333334
0.11666667,0.877686,1.0,0.182,3,-0.11666667
0.1,1.291473,0.33333334,0.183,1,-0.1
0.083333336,1.0412374,0.33333334,0.184,1,-0.083333336
0.083333336,1.4022717,0.0,0.185,0,-0.083333336
0.05,1.7920628,0.0,0.186,0,-0.05
0.041666668,2.2001677,0.6666667,0.187,2,-0.041666668
0.033333335,2.5987136,0.0,0.188,0,-0.033333335
0.025,3.0295284,0.0,0.189,0,-0.025
0.041666668,3.065821,0.0,0.19,0,-0.041666668
0.041666668,2.9821138,0.0,0.191,0,-0.041666668
0.05,2.6577435,0.0,0.192,0,-0.05
0.075,1.1910976,0.0,0.193,0,-0.075
0.058333334,1.0570791,1.0,0.194,3,-0.058333334
0.058333334,1.045691,0.33333334,0.195,1,-0.058333334
0.075,1.0890049,0.0,0.196,0,-0.075
0.058333334,1.2103862,0.33333334,0.197,1,-0.058333334
0.06666667,1.2853032,0.33333334,0.198,1,-0.06666667
0.075,1.3486793,0.0,0.199,0,-0.075
0.058333334,1.5979024,0.0,0.2,0,-0.058333334
0.058333334,1.1722656,0.6666667,0.201,2,-0.058333334
0.05,1.341652,0.6666667,0.202,2,-0.05
0.075,1.4869471,0.0,0.203,0,-0.075
0.075,1.7142446,1.0,0.204,3,-0.075
0.09166667,1.1803753,0.0,0.205,0,-0.09166667
0.09166667,1.2229574,0.33333334,0.206,1,-0.09166667
0.09166667,1.3922982,0.0,0.207,0,-0.09166667
0.1,1.5709337,0.33333334,0.208,1,-0.1
0.083333336,1.198337,1.0,0.209,3,-0.083333336
0.06666667,1.573277,0.33333334,0.21,1,-0.06666667
0.075,1.1958429,0.33333334,0.211,1,-0.075
0.041666668,1.7395536,0.33333334,0.212,1,-0.041666668
0.041666668,2.0066566,0.0,0.213,0,-0.041666668
0.025,2.4145024,1.0,0.214,3,-0.025
0.033333335,2.148695,0.0,0.215,0,-0.033333335
0.008333334,2.8315768,0.0,0.216,0,-0.008333334
0.0,3.5956616,0.33333334,0.217,1,-0.0
0.0,4.0961876,0.33333334,0.218,1,-0.0
0.008333334,4.3702917,0.6666667,0.219,2,-0.008333334
0.025,3.5513783,0.0,0.22,0,-0.025
0.025,2.9803727,0.0,0.221,0,-0.025
0.041666668,2.7815115,0.0,0.222,0,-0.041666668
0.041666668,2.614979,0.0,0.223,0,-0.041666668
0.06666667,2.0266724,0.6666667,0.224,2,-0.06666667
0.083333336,1.5066152,0.0,0.225,0,-0.083333336
0.108333334,1.387512,0.0,0.226,0,-0.108333334
0.09166667,1.4930838,1.0,0.227,3,-0.09166667
0.075,1.881329,0.0,0.228,0,-0.075
0.06666667,2.2044833,0.0,0.229,0,-0.06666667
0.06666667,1.9822847,0.0,0.23,0,-0.06666667
0.06666667,2.1187897,0.0,0.231,0,-0.06666667
0.05,2.3570247,0.6666667,0.232,2,-0.05
0.041666668,2.0977867,1.0,0.233,3,-0.041666668
0.025,2.3494012,0.33333334,0.234,1,-0.025
0.025,2.5132022,0.0,0.235,0,-0.025
0.033333335,2.576106,0.0,0.236,0,-0.033333335
0.041666668,2.6655188,0.0,0.237,0,-0.041666668
0.05,1.3581848,0.33333334,0.238,1,-0.05
0.075,1.239826,0.0,0.239,0,-0.075
0.075,1.3886713,0.0,0.24,0,-0.075
0.108333334,0.7639409,0.0,0.241,0,-0.108333334
0.108333334,0.9261886,0.33333334,0.242,1,-0.108333334
0.108333334,1.2802202,1.0,0.243,3,-0.108333334
0.075,1.1005882,0.0,0.244,0,-0.075
0.09166667,1.3868564,1.0,0.245,3,-0.09166667
0.075,1.9704078,1.0,0.246,3,-0.075
0.058333334,2.4115248,0.0,0.247,0,-0.058333334
0.041666668,2.878036,0.6666667,0.248,2,-0.041666668
0.033333335,2.898778,0.0,0.249,0,-0.033333335
0.033333335,3.1285906,0.33333334,0.25,1,-0.033333335
0.041666668,2.949508,0.0,0.251,0,-0.041666668
0.05,2.6080692,0.6666667,0.252,2,-0.05
0.075,2.3755527,0.6666667,0.253,2,-0.075
0.075,1.1424068,0.33333334,0.254,1,-0.075
0.108333334,1.0863074,0.6666667,0.255,2,-0.108333334
0.108333334,1.0451978,0.6666667,0.256,2,-0.108333334
0.09166667,1.1778522,0.0,0.257,0,-0.09166667
0.1,0.8928964,0.0,0.258,0,-0.1
0.11666667,1.1590667,0.6666667,0.259,2,-0.11666667
0.13333334,1.3762988,0.0,0.26,0,-0.13333334
0.13333334,1.6305002,0.6666667,0.261,2,-0.13333334
0.13333334,1.8955919,0.0,0.262,0,-0.13333334
0.11666667,2.289964,1.0,0.263,3,-0.11666667
0.108333334,2.489688,0.6666667,0.264,2,-0.108333334
0.1,1.6372622,0.6666667,0.265,2,-0.1
0.083333336,1.8766278,0.0,0.266,0,-0.083333336
0.075,1.4441866,0.33333334,0.267,1,-0.075
0.058333334,0.9850917,1.0,0.268,3,-0.058333334
0.041666668,1.3018317,0.33333334,0.269,1,-0.041666668
0.016666668,1.7502211,1.0,0.27,3,-0.016666668
0.033333335,2.059073,0.0,0.271,0,-0.033333335
0.008333334,2.6346345,1.0,0.272,3,-0.008333334
0.008333334,3.284434,0.33333334,0.273,1,-0.008333334
0.016666668,3.8022685,0.6666667,0.274,2,-0.016666668
0.016666668,3.2920809,0.0,0.275,0,-0.016666668
0.008333334,3.581582,0.0,0.276,0,-0.008333334
0.016666668,3.8815892,0.33333334,0.277,1,-0.016666668
0.016666668,3.7596016,1.0,0.278,3,-0.016666668
0.025,3.62177,0.6666667,0.279,2,-0.025
0.025,3.654969,0.0,0.28,0,-0.025
0.033333335,2.6202161,0.0,0.281,0,-0.033333335
