Queue length,Speed,Phase,Step,Action,Reward
0.025,3.9623506,0.0,0.115,0,-0.025
0.025,4.512635,0.6666667,0.116,2,-0.025
0.025,3.3183272,0.0,0.117,0,-0.025
0.025,3.6926084,0.6666667,0.118,2,-0.025
0.016666668,4.3317676,0.33333334,0.119,1,-0.016666668
0.016666668,3.0324547,0.0,0.12,0,-0.016666668
0.05,1.7451526,0.6666667,0.121,2,-0.05
0.016666668,2.5747936,0.33333334,0.122,1,-0.016666668
0.0,2.398672,1.0,0.123,3,-0.0
0.016666668,2.8568423,0.6666667,0.124,2,-0.016666668
0.033333335,2.9493647,0.33333334,0.125,1,-0.033333335
0.008333334,4.022305,0.0,0.126,0,-0.008333334
0.008333334,4.9924107,0.0,0.127,0,-0.008333334
0.008333334,5.954392,0.6666667,0.128,2,-0.008333334
0.008333334,6.9386153,0.0,0.129,0,-0.008333334
0.008333334,6.3836117,0.0,0.13,0,-0.008333334
0.008333334,6.3225574,0.6666667,0.131,2,-0.008333334
0.008333334,5.890249,0.0,0.132,0,-0.008333334
0.016666668,4.703859,0.6666667,0.133,2,-0.016666668
0.033333335,4.711307,0.6666667,0.134,2,-0.033333335
0.033333335,3.419391,0.0,0.135,0,-0.033333335
0.033333335,3.3379502,0.0,0.136,0,-0.033333335
0.033333335,3.8328936,0.6666667,0.137,2,-0.033333335
0.033333335,3.1330807,0.0,0.138,0,-0.033333335
0.033333335,3.74336,0.0,0.139,0,-0.033333335
0.033333335,4.2962604,0.6666667,0.14,2,-0.033333335
0.033333335,4.8025174,0.0,0.141,0,-0.033333335
0.033333335,3.9258754,0.0,0.142,0,-0.033333335
0.033333335,1.6797293,0.6666667,0.143,2,-0.033333335
0.016666668,2.4548116,1.0,0.144,3,-0.016666668
0.0,3.4262269,0.33333334,0.145,1,-0.0
0.016666668,3.6391838,0.0,0.146,0,-0.016666668
0.016666668,2.076708,0.6666667,0.147,2,-0.016666668
0.016666668,2.7428591,0.6666667,0.148,2,-0.016666668
0.016666668,3.2132735,1.0,0.149,3,-0.016666668
0.0,4.0382333,0.33333334,0.15,1,-0.0
0.033333335,2.6115859,0.6666667,0.151,2,-0.033333335
0.0,3.683269,0.6666667,0.152,2,-0.0
0.0,4.837249,0.6666667,0.153,2,-0.0
0.0,5.9332404,0.0,0.154,0,-0.0
0.025,4.33601,0.0,0.155,0,-0.025
0.0,4.623898,0.0,0.156,0,-0.0
0.0,5.677326,0.0,0.157,0,-0.0
0.0,6.842215,0.0,0.158,0,-0.0
0.0,7.972775,0.0,0.159,0,-0.0
0.0,8.3291025,0.0,0.16,0,-0.0
0.0,6.299235,0.0,0.161,0,-0.0
0.0,5.5998034,0.6666667,0.162,2,-0.0
0.0,4.9779634,0.33333334,0.163,1,-0.0
0.008333334,4.301628,0.0,0.164,0,-0.008333334
0.016666668,3.7025797,0.0,0.165,0,-0.016666668
0.016666668,2.3943763,1.0,0.166,3,-0.016666668
0.025,2.379112,0.33333334,0.167,1,-0.025
0.025,2.8697705,0.33333334,0.168,1,-0.025
0.016666668,3.6119287,0.0,0.169,0,-0.016666668
