Queue length,Speed,Phase,Step,Action,Reward
0.05,2.7993743,0.33333334,0.113,1,-0.05
0.06666667,3.207452,0.33333334,0.114,1,-0.06666667
0.06666667,3.4786325,0.6666667,0.115,2,-0.06666667
0.06666667,2.501518,0.6666667,0.116,2,-0.06666667
0.083333336,2.175999,0.0,0.117,0,-0.083333336
0.06666667,2.4536188,0.0,0.118,0,-0.06666667
0.083333336,2.1763601,0.33333334,0.119,1,-0.083333336
0.06666667,1.8757914,1.0,0.12,3,-0.06666667
0.083333336,1.7907795,0.33333334,0.121,1,-0.083333336
0.041666668,2.3749404,0.33333334,0.122,1,-0.041666668
0.025,3.0760188,0.33333334,0.123,1,-0.025
0.033333335,2.0047526,0.6666667,0.124,2,-0.033333335
0.025,2.4635546,1.0,0.125,3,-0.025
0.0,3.302193,0.0,0.126,0,-0.0
0.0,4.1882963,0.6666667,0.127,2,-0.0
0.0,5.0571256,1.0,0.128,3,-0.0
0.0,5.9717803,1.0,0.129,3,-0.0
0.0,6.3948636,0.33333334,0.13,1,-0.0
0.016666668,4.9293914,0.33333334,0.131,1,-0.016666668
0.0,4.3745866,0.6666667,0.132,2,-0.0
0.008333334,4.2664905,0.33333334,0.133,1,-0.008333334
0.016666668,4.379552,1.0,0.134,3,-0.016666668
0.016666668,3.505704,0.33333334,0.135,1,-0.016666668
0.033333335,3.7514238,0.0,0.136,0,-0.033333335
0.05,3.3159404,1.0,0.137,3,-0.05
0.041666668,2.5786538,0.0,0.138,0,-0.041666668
0.041666668,2.7286096,0.6666667,0.139,2,-0.041666668
0.033333335,1.7281606,1.0,0.14,3,-0.033333335
0.041666668,2.181614,1.0,0.141,3,-0.041666668
0.033333335,2.721077,0.6666667,0.142,2,-0.033333335
0.033333335,3.3355284,0.6666667,0.143,2,-0.033333335
0.033333335,4.01798,1.0,0.144,3,-0.033333335
0.05,3.6169572,1.0,0.145,3,-0.05
0.033333335,4.2985816,1.0,0.146,3,-0.033333335
0.016666668,4.7802577,0.33333334,0.147,1,-0.016666668
0.025,4.6224146,0.0,0.148,0,-0.025
0.025,5.190111,1.0,0.149,3,-0.025
0.016666668,5.1438317,0.0,0.15,0,-0.016666668
0.058333334,3.680929,0.0,0.151,0,-0.058333334
0.016666668,3.9277277,1.0,0.152,3,-0.016666668
0.033333335,2.617124,0.0,0.153,0,-0.033333335
0.025,2.882024,0.0,0.154,0,-0.025
0.041666668,2.5114229,0.33333334,0.155,1,-0.041666668
0.025,3.2353995,1.0,0.156,3,-0.025
0.033333335,3.938273,0.33333334,0.157,1,-0.033333335
