Queue length,Speed,Phase,Step,Action,Reward
0.008333334,5.4667454,0.6666667,0.116,2,-0.008333334
0.008333334,5.9601855,0.33333334,0.117,1,-0.008333334
0.008333334,6.8031316,0.33333334,0.118,1,-0.008333334
0.008333334,7.5806966,0.33333334,0.119,1,-0.008333334
0.008333334,5.835115,0.6666667,0.12,2,-0.008333334
0.041666668,2.0094562,0.6666667,0.121,2,-0.041666668
0.008333334,0.9298121,0.6666667,0.122,2,-0.008333334
0.0,2.035845,0.0,0.123,0,-0.0
0.0,3.0810738,0.0,0.124,0,-0.0
0.025,2.570277,0.0,0.125,0,-0.025
0.0,3.7109628,0.0,0.126,0,-0.0
0.0,4.9601464,1.0,0.127,3,-0.0
0.0,6.105337,1.0,0.128,3,-0.0
0.0,7.429894,1.0,0.129,3,-0.0
0.0,7.6482997,0.6666667,0.13,2,-0.0
0.0,6.579167,0.0,0.131,0,-0.0
0.0,6.034065,0.0,0.132,0,-0.0
0.016666668,4.853244,1.0,0.133,3,-0.016666668
0.008333334,2.9593544,0.33333334,0.134,1,-0.008333334
0.025,2.7823524,0.6666667,0.135,2,-0.025
0.025,2.7894614,0.6666667,0.136,2,-0.025
0.025,3.0872974,0.33333334,0.137,1,-0.025
0.016666668,3.5060656,0.0,0.138,0,-0.016666668
0.016666668,4.2891717,0.0,0.139,0,-0.016666668
0.016666668,4.8804517,0.0,0.14,0,-0.016666668
0.016666668,5.761487,0.6666667,0.141,2,-0.016666668
0.016666668,5.4512334,1.0,0.142,3,-0.016666668
0.016666668,4.7821217,0.6666667,0.143,2,-0.016666668
0.016666668,5.471317,0.0,0.144,0,-0.016666668
0.016666668,6.401638,0.0,0.145,0,-0.016666668
0.016666668,7.207645,0.0,0.146,0,-0.016666668
0.016666668,2.8935204,0.0,0.147,0,-0.016666668
0.016666668,3.3301828,0.6666667,0.148,2,-0.016666668
0.016666668,3.8060966,1.0,0.149,3,-0.016666668
0.0,4.8854613,0.33333334,0.15,1,-0.0
0.033333335,0.76739854,0.33333334,0.151,1,-0.033333335
0.0,1.9128705,0.0,0.152,0,-0.0
0.0,2.9103866,0.6666667,0.153,2,-0.0
0.0,4.1758122,0.0,0.154,0,-0.0
0.025,3.4861777,0.33333334,0.155,1,-0.025
0.0,4.6137595,0.33333334,0.156,1,-0.0
0.0,5.852042,0.6666667,0.157,2,-0.0
0.0,7.115016,1.0,0.158,3,-0.0
0.0,8.132599,0.33333334,0.159,1,-0.0
0.0,8.641983,0.33333334,0.16,1,-0.0
0.0,6.8381834,0.6666667,0.161,2,-0.0
0.008333334,5.6146116,0.6666667,0.162,2,-0.008333334
0.008333334,4.826109,0.6666667,0.163,2,-0.008333334
0.033333335,4.162698,0.6666667,0.164,2,-0.033333335
0.033333335,3.8634114,0.6666667,0.165,2,-0.033333335
0.025,3.7319512,1.0,0.166,3,-0.025
0.016666668,3.6039279,0.33333334,0.167,1,-0.016666668
0.033333335,1.8212532,0.6666667,0.168,2,-0.033333335
0.025,2.3218327,0.33333334,0.169,1,-0.025
0.025,2.95304,0.6666667,0.17,2,-0.025
0.025,3.453234,1.0,0.171,3,-0.025
0.008333334,2.2217584,0.0,0.172,0,-0.008333334
0.008333334,3.276828,0.0,0.173,0,-0.008333334
0.008333334,4.2015414,0.0,0.174,0,-0.008333334
0.008333334,5.3774962,0.33333334,0.175,1,-0.008333334
0.0,6.543886,1.0,0.176,3,-0.0
0.0,7.754171,0.33333334,0.177,1,-0.0
0.0,8.993969,1.0,0.178,3,-0.0
0.0,10.236742,0.0,0.179,0,-0.0
0.0,9.671669,1.0,0.18,3,-0.0
0.033333335,2.8216982,0.0,0.181,0,-0.033333335
0.0,3.9578345,0.33333334,0.182,1,-0.0
0.0,3.4638093,0.0,0.183,0,-0.0
0.0,4.603143,0.0,0.184,0,-0.0
0.025,3.5457995,1.0,0.185,3,-0.025
0.0,4.653316,0.6666667,0.186,2,-0.0
0.0,5.878824,1.0,0.187,3,-0.0
0.0,6.195935,0.33333334,0.188,1,-0.0
0.0,7.3821716,0.33333334,0.189,1,-0.0
0.0,7.5311947,1.0,0.19,3,-0.0
0.0,7.596429,0.33333334,0.191,1,-0.0
0.0,6.690275,0.33333334,0.192,1,-0.0
0.008333334,6.090324,0.33333334,0.193,1,-0.008333334
0.016666668,5.2112856,0.33333334,0.194,1,-0.016666668
0.008333334,4.8005013,1.0,0.195,3,-0.008333334
0.016666668,4.231042,1.0,0.196,3,-0.016666668
0.016666668,4.1303897,0.33333334,0.197,1,-0.016666668
0.033333335,2.7283194,1.0,0.198,3,-0.033333335
0.033333335,1.1914847,0.33333334,0.199,1,-0.033333335
0.016666668,2.1477041,0.0,0.2,0,-0.016666668
0.016666668,3.0506132,0.0,0.201,0,-0.016666668
0.0,4.305294,0.6666667,0.202,2,-0.0
0.016666668,4.9759407,0.33333334,0.203,1,-0.016666668
0.016666668,6.0712814,0.0,0.204,0,-0.016666668
0.016666668,6.2878466,1.0,0.205,3,-0.016666668
0.0,5.45628,0.6666667,0.206,2,-0.0
0.0,6.67472,0.33333334,0.207,1,-0.0
0.0,5.640225,1.0,0.208,3,-0.0
0.0,6.80196,0.0,0.209,0,-0.0
0.0,7.5227904,0.6666667,0.21,2,-0.0
0.033333335,2.1116865,1.0,0.211,3,-0.033333335
0.0,3.2289572,1.0,0.212,3,-0.0
0.0,4.378589,0.33333334,0.213,1,-0.0
